Locationid,RecipeName,PLU,Salesdate,Quantity,NetSalesPrice,CostPrice,Year,Month,Day,WeekDay,YearDay
405,Sicilian Lemonade 300ml,2497,2017-03-02 00:00:00.000,1,2.08,0.296696035242291,2017,3,2,4,61
405,Sicilian Lemonade 300ml,2497,2017-03-03 00:00:00.000,5,2.08,0.296696035242291,2017,3,3,5,62
405,Sicilian Lemonade 300ml,2497,2017-03-04 00:00:00.000,7,2.08,0.296696035242291,2017,3,4,6,63
405,Sicilian Lemonade 300ml,2497,2017-03-05 00:00:00.000,1,2.08,0.296696035242291,2017,3,5,0,64
405,Sprite 330ml Icon,2489,2017-03-01 00:00:00.000,3,2.08,0.557916666666667,2017,3,1,3,60
405,Sprite 330ml Icon,2489,2017-03-02 00:00:00.000,1,2.08,0.557916666666667,2017,3,2,4,61
405,Sprite 330ml Icon,2489,2017-03-03 00:00:00.000,1,2.08,0.557916666666667,2017,3,3,5,62
405,Sprite 330ml Icon,2489,2017-03-04 00:00:00.000,8,2.08,0.557916666666667,2017,3,4,6,63
405,Sprite 330ml Icon,2489,2017-03-05 00:00:00.000,3,2.08,0.557916666666667,2017,3,5,0,64
405,Lemonade,2514,2017-03-02 00:00:00.000,3,1.18333333333333,0.40625,2017,3,2,4,61
405,Lemonade,2514,2017-03-01 00:00:00.000,3,1.42,0.40625,2017,3,1,3,60
405,Lemonade,2514,2017-03-03 00:00:00.000,1,1.42,0.40625,2017,3,3,5,62
405,Lemonade,2514,2017-03-04 00:00:00.000,6,1.42,0.40625,2017,3,4,6,63
405,Lemonade,2514,2017-03-05 00:00:00.000,3,1.42,0.40625,2017,3,5,0,64
405,Nero d'Avola 250ml,2407,2017-03-01 00:00:00.000,1,4.46,1.14694444444444,2017,3,1,3,60
405,Nero d'Avola 250ml,2407,2017-03-02 00:00:00.000,5,4.46,1.14694444444444,2017,3,2,4,61
405,Nero d'Avola 250ml,2407,2017-03-04 00:00:00.000,4,4.46,1.14694444444444,2017,3,4,6,63
405,Nero d'Avola 250ml,2407,2017-03-05 00:00:00.000,3,4.46,1.14694444444444,2017,3,5,0,64
405,Chardonnay Middelvlei 750ml,2464,2017-03-03 00:00:00.000,1,18.75,6.04666666666667,2017,3,3,5,62
405,Scoop of Raspberry Sorbet,4065,2017-03-01 00:00:00.000,3,0,0.206923076923077,2017,3,1,3,60
